text,language
jou brandewyn bloots drink,Afrikaans
sweet fanny adams,English
secondguess,English
on with the motley,English
straitlaced,English
“wel slaan my met ‘n pap snoek en vee jam onder my arms” – ingestuur deur george,Afrikaans
brook no truck with,English
‘n sinikus is iemand wat die prys van alles weet en die waarde van niks,Afrikaans
keep your chin up,English
god is dead,English
misdaad loont niet,Nederlands
by die verkeerde boom blaf,Afrikaans
an ill wind,English
as fit as a fiddle,English
christmas card verses,English
lackadaisical,English
the crapper,English
spin jy jou driewiel,Afrikaans
hulle breek nie brandhout van dieselfde tak nie,Afrikaans
hy staan of hy geld in die bank het,Afrikaans
so skaars soos ‘n tweedehandse doodkis,Afrikaans
let not the sun go down on your wrath,English
piggyback,English
brass monkey weather,English
all the tea in china  not for,English
countenance more in sorrow than in anger  a,English
moving the goalposts,English
eers grootmense en dan langore,Afrikaans
as klein mensies groot skaduwees begin gooi is die son besig om onder te gaan,Afrikaans
wotcher,English
ankle biter,English
what god has joined together let no man put asunder,English
bad egg,English
all present and correct,English
lose your marbles,English
cat may look at a king  a,English
as die hemel val is ons almal dood,Afrikaans
bag and baggage,English
sour grapes,English
curiosity killed the cat,English
keep your powder dry,English
piece of cake  a,English
lie low,English
queer as a nine bob note,English
darby and joan,English
give a wide berth,English
like it or lump it,English
the darkest hour is just before the dawn,English
op die koop toe,Afrikaans
highflyer,English
the living daylights,English
davy jones locker,English
dit help nie om in die dooie kole te blaas nie jy blaas hul net kouer en jou oë vol as,Afrikaans
generation x,English
bunch of fives  a,English
bode well,English
do unto others as you would have them do to you,English
now is the winter of our discontent,English
stand and deliver,English
play the race card,English
chalk and cheese,English
fools rush in where angels fear to tread,English
feeding frenzy,English
lo and behold,English
cherchez la femme,English
die aarde is toe te koud vir hom om op te trap,Afrikaans
romeo romeo wherefore art thou romeo,English
drummed out of the army,English
dog is a mans best friend,English
the ends of the earth,English
odds bodkins,English
pass over to the other side,English
hooray henry,English
bolt from the blue,English
how are the mighty fallen,English
never knowingly undersold,English
forlorn hope,English
great minds think alike,English
jack robinson  before you can say,English
by hook or by crook,English
celeste herman “‘n mooi uiterlike vang die oog vir ‘n wyle maar ‘n mooi innerlike word ‘n leeftyd deur die hart vasgevang”,Afrikaans
go to pot,English
smart casual,English
hy maak of hy geld in die bank het,Afrikaans
o ye of little faith,English
daai manne by die spele ry toespeek,Afrikaans
oefening baart kunst,Nederlands
by dint of,English
a picture is worth a thousand words,English
wanneer jy dink dat jy onmisbaar is moet jy ‘n emmer water neem jou vuis en arm daarin druk en dan stadig uittrek die gat wat in die water oorbly is die mate waarin jy gemis sal word,Afrikaans
thats all she wrote,English
throw your hat into the ring,English
met spaarsaamheid sal jy uit die kleinste inkomste iets oorhou met verkwisting sal die grootste vir jou te min wees,Afrikaans
strike while the iron is hot,English
apie kyk vir kerriekos,Afrikaans
in die donker is alle katte grou,Afrikaans
om elke dag te lewe asof dit jou laaste is – nooit oorhaastig nie nooit ongevoelig nie nooit met aansit nie – dit is die perfekte karakter,Afrikaans
run a mile,English
cotton on to,English
erken as jy verkeerd is en bly stil as jy reg is,Afrikaans
walk the walk,English
go over like a lead balloon,English
jors is hier weg met die aanslag van die dag,Afrikaans
shall i compare thee to a summers day,English
devil and the deep blue sea,English
bees knees  the,English
jannie is al ringbek,Afrikaans
hat trick,English
stick in the mud,English
there is more than one way to kill a cat,English
daai klas wyn is nie vir ‘n man met ‘n dun kopvel nie,Afrikaans
the devil incarnate,English
might and main,English
ashes to ashes dust to dust,English
exceedingly well read,English
eat humble pie,English
nobrainer,English
de stoute schoenen aantrekken,Nederlands
roasted to a turn,English
son of a gun,English
like a chicken with its head cut off,English
dit is net ‘n brekfis,Afrikaans
beat swords into ploughshares,English
mens moet nie werk om te lewe nie – hy moet lewe om te werk,Afrikaans
wooden hill to bedfordshire,English
elke mens is ‘n dief in sy eie nering,Afrikaans
soort zoekt soort,Nederlands
kiss me hardy,English
ek is piet verdriet op moedverloor se vlakte vandag,Afrikaans
om groot te skrik is soms meer werd as goeie raad,Afrikaans
on cloud nine,English
hy kollekteer al weer by haar,Afrikaans
hy hou van ankers uitgooi by elke stopstraat,Afrikaans
designer stubble,English
u straf is te swaar vir my op aarde jy sal word ‘n doellose swerwer op aarde jou handewerk sal vervloek wees die aarde wat jy bewerk sal niks oplewer nie,Afrikaans
koerland se vleiseter is n lui kalant en so uitgeslape soos my prokureur nie kan droom om te wees,Afrikaans
all publicity is good publicity,English
hoe beter man jy is hoe jammerder is dit van die fout wat jy het dis op die wit papier wat die swart klad duidelik wys,Afrikaans
season of mists and mellow fruitfulness,English
in the doldrums,English
round robin,English
alike as two peas in a pod,English
die ouens sal moet losklos hardloop daar in londen,Afrikaans
born with a silver spoon in ones mouth,English
up a blind alley,English
to a t,English
jan alleman in die straat is die segsman vir die ouens wat met hulle mond vol tande staan,Afrikaans
ring the changes,English
usual suspects  the,English
place for everything and everything in its place  a,English
yada yada,English
upper crust,English
april fool,English
‘n goeie gewete is ‘n sagte kussing,Afrikaans
purple patch,English
all intents and purposes,English
the powers that be,English
die halter afhaal,Afrikaans
foot in the door  a,English
die liefde is ‘n dubbeldoor – iets te wen en iets verloor,Afrikaans
caught in a cleft stick,English
die sout van die aarde,Afrikaans
selfs in my oupagrootjie se tyd was daar iets wat jou aan die slaap kon kry hulle het dit werk genoem…,Afrikaans
across the board,English
die gierige mens is altyd behoeftig,Afrikaans
baby blues,English
knock into a cocked hat,English
on the warpath,English
die hand wat die wieg skommel regeer die wêreld,Afrikaans
beter een half ei dan een lege dop,Nederlands
all in all,English
mums the word,English
for good measure,English
keep your nose clean,English
up the duff,English
alte goed is buurmansgek,Afrikaans
pond life,English
copperbottomed,English
a load of cobblers,English
tussen die bye maar nog nie by die koekie nie,Afrikaans
kerm soos ‘n kat oor ‘n derm,Afrikaans
tissue of lies,English
hy het die hasepad gekies,Afrikaans
wie het laatst lacht lacht het best,Nederlands
daar is te veel dak op die huis,Afrikaans
as different as chalk and cheese,English
scot free,English
so bang soos ‘n bolander vir donderweer,Afrikaans
giddy aunt,English
taken aback,English
we are a grandmother,English
hy slaan die bottel hard,Afrikaans
‘n perd agterstevoor ry,Afrikaans
doff your hat,English
make hay while the sun shines,English
grass up,English
boxing day,English
steal my thunder,English
more fool you,English
the bees knees,English
from sea to shining sea,English
play the giddy goat,English
hy is gecollar en getie,Afrikaans
in the offing,English
the great  unwashed,English
rinkydink,English
on the shoulders of giants,English
turn of phrase,English
i have not slept one wink,English
so arm soos ‘n kerkmuis,Afrikaans
tinkers dam,English
beauty is only skin deep,English
sy is totaal en al bonkers,Afrikaans
sy kan altyd my battery natpiepie,Afrikaans
flesh and blood,English
forgive them for they know not what they do,English
spill the beans,English
its that man again,English
red herring,English
sy het so ‘n broeishennetjiemanier van aanlê by die seuns draai al om hulle,Afrikaans
between the devil and the deep blue sea,English
alter ego,English
halfcocked,English
may you live in interesting times,English
die belangrikste eienskap wat ‘n jong meisie moet openbaar is blymoedigheid in haar lewensuitkyk,Afrikaans
bunny boiler,English
fly in the ointment,English
i havent got a clue,English
as brown as a berry,English
geld wat stom is maak reg wat krom is,Afrikaans
carte blanche,English
om vas te staan wanneer jy iets weet en toe te gee dat jy soms iets nie weet nie dit is kennis,Afrikaans
sy bont varkie is weg,Afrikaans
raspberry tart,English
be afraid be very afraid,English
as jy geluk wil vind en soek sal jy dit kry soos die ou dame haar bril – al die tyd veilig op haar neus…,Afrikaans
jy sal verbaas wees hoeveel van jou geheime sondes jou bure weet hoekom sal hulle met jou daaroor praat hulle reken jy weet dit immers self,Afrikaans
arms akimbo,English
die kreeftegang van agteruitgaan,Afrikaans
on the wagon,English
lame duck,English
good men and true,English
laid out in lavender,English
ek word alte ongelukkig as ‘n grootman so inkokkewiet werk,Afrikaans
the blind leading the blind,English
strain at the leash,English
forewarned is forearmed,English
rose is a rose is a rose,English
over the top,English
hoi polloi,English
fits to a tee,English
double whammy,English
plug ugly,English
‘n blaadjie uit iemand se boek neem,Afrikaans
pass the buck,English
ringfencing,English
the hairy eyeball,English
gloom and doom,English
old chestnut,English
good measure  for,English
many are called but few are chosen,English
hy lyk soos sondagkos,Afrikaans
fair and square,English
nth degree,English
all singing all dancing,English
by the skin of your teeth,English
beyond the pale,English
die enigste tyd wanneer spaargeld niks werd is nie is wanneer jy ‘n goedkoop sleg artikel gekoop het,Afrikaans
seen better days,English
get the upper hand,English
bell the cat,English
grand slam,English
i told you is was ill,English
gee die duiwel wat hom toekom  hy slyp al lank genoeg aan sy steen,Afrikaans
back the field,English
the salt of the earth,English
cobblers  a load of,English
squeaky bum time,English
tide over,English
the nth degree,English
iets is beter dan niets,Nederlands
jy sal vir jou moet laat kyk deur sewe skeel kamele,Afrikaans
kneejerk reaction,English
needs must,English
special relationship,English
dont keep a dog and bark yourself,English
for whom the bell tolls,English
freeze the balls off a brass monkey  cold enough to,English
shambles,English
die blerrie tweegesig blaf met die honde en huil met die wolwe,Afrikaans
jetblack,English
shanks mareshanks pony,English
visit the ladies room,English
think outside the box,English
stuur die luiaard na die mier en as hy nie te lui is om te gaan nie sal hy te lui wees om terug te kom,Afrikaans
balance of trade  the,English
ear candy,English
as jyself dink en doen is jy beperk tot jouself as jy lees en dink en doen is die wye wêreld jou helper,Afrikaans
two peas in a pod,English
let your hair down,English
on your beam ends,English
gung ho,English
nothing is certain but death and taxes,English
moveable feast,English
daar’s ‘n geurtjie aan,Afrikaans
kind onthou net één ding jy kon nie jou ouers en voorouers kies nie,Afrikaans
uneasy lies the head that wears a crown,English
je moet de vieze was niet buiten hangen,Nederlands
year dot  the,English
o romeo romeo wherefore art thou romeo,English
elke mens kom vroeër of later sy waterloo teë,Afrikaans
get the sack,English
well read,English
je bent nooit te oud om te leren,Nederlands
some are born great some achieve greatness and some have greatness thrust upon em,English
morbid obesity,English
middle of the road,English
mighty oaks from little acorns grow,English
waar een wil is is een weg,Nederlands
to travel hopefully is a better thing than to arrive,English
sy hempie is kort,Afrikaans
safe sex,English
a fish out of water,English
hy weet hoe om ‘n bottel te knak,Afrikaans
clean breast  make a,English
motley crew,English
scarper,English
out of sorts,English
take the mickey,English
as keen as mustard,English
fly on the wall,English
chop and change,English
jack in the box,English
dit is peper duur,Afrikaans
dié naweek drink ons tot die bodem,Afrikaans
hell or high water,English
hy laat hom nie met blou ertjies op loop jaag nie,Afrikaans
over a barrel,English
‘n mens moet onthou wie die tafel gedek het wie die kos voorberei het,Afrikaans
wave a red rag to a bull,English
a fly in the ointment,English
between you me and the bedpost,English
die mens met min woorde se solder is so klein dat daar nie plek vir kaf is nie,Afrikaans
skeleton in the closet,English
big wig,English
savoir faire,English
here lies one whose name is writ in water,English
sy binneleisel is te kort,Afrikaans
my cup runneth over,English
extraordinary rendition,English
easy as pie,English
in someones bad books,English
stump up,English
bokwagter word,Afrikaans
the camera cannot lie,English
sixes and sevens  at,English
a chain is only as strong as its weakest link,English
man who is his own lawyer has a fool for a client  a,English
die stormers moet nou opstaan uit daai lamrugbygroef waarin hulle verval het,Afrikaans
glass ceiling,English
in an interesting condition,English
willy nilly,English
hissy fit,English
teenspoed ontlont talente wat in voorspoed dormant sou bly,Afrikaans
get ones dander up,English
spare the rod and spoil the child,English
keen as mustard,English
sleep tight,English
brummagem screwdriver,English
allemansvriend is niemandsvriend  httpgooglsddnq,Afrikaans
moving finger writes  the,English
a red rag to a bull,English
brand spanking new,English
fuddyduddy,English
graveyard shift,English
dit is vir my grieks en ek maak nie kop of stert daarvan uit nie,Afrikaans
as straight as a die,English
om te wees wat ons is en te word waartoe ons in staat is is die enigste doelwit in die lewe,Afrikaans
hark hark the lark at heavens gate sings,English
about face,English
as old as the hills,English
sielkundiges se manier van groet “dit gaan goed met jou hoe gaan dit met my”,Afrikaans
brass tacks  get down to,English
have an axe to grind,English
powers that be  the,English
een hoofd vol kreuken – een geweten sonder rimpel,Afrikaans
learn the ropes,English
‘n hen met spore,Afrikaans
hoe korter jy jou kuier maak hoe gouer sal jy weer genooi word,Afrikaans
kiss and tell,English
bugger bognor,English
security blanket,English
different kettle of fish,English
die regverdige beloof min en verrig baie die bose beloof baie en verrig nie eens min nie,Afrikaans
end of story,English
wing it,English
beauty is in the eye of the beholder,English
road rage,English
die berg het ‘n muis gebaar,Afrikaans
hoe dieper ik poog te delven hoe meer ik bederf ontmoet,Afrikaans
for crying out loud,English
the die has been cast,English
leadpipe cinch,English
dis klaar hel op aarde om met ‘n goeie vrou getroud te wees – wat nog te sê met ‘n slegte vrou,Afrikaans
pony up,English
sleep on a clothesline,English
the ants are my friends theyre blowing in the wind,English
the triumph of hope over experience,English
eye of newt and toe of frog wool of bat and tongue of dog,English
sy tand koggel hom,Afrikaans
leopard cannot change its spots  a,English
duvet day,English
nou is jy regte slim jan vandat jou twak nie meer nat is nie,Afrikaans
horse feathers,English
white bread,English
the shot heard round the world,English
die taal van die veroweraar in die mond van die verowerde is die taal van slawe,Afrikaans
pasop vir ‘n napaadjie daar moet ‘n rde wees waarom die grootpad nie daarlangs gaan nie,Afrikaans
something old something new something borrowed something blue,English
air kiss,English
a nest of vipers,English
third degree  the,English
jack  phrases that include the name jack,English
daar is lewe in die grond dit gaan in die saad in en wanneer dit versteur word gaan dit ook in die man wat dit versteur,Afrikaans
net goed wees om die dood te gaan haal,Afrikaans
goody twoshoes,English
wat jou lot ookal in die lewe is bou iets daarop,Afrikaans
half inch,English
lick and a promise,English
the quick and the dead,English
darkest hour is just before the dawn  the,English
trou die dogter van ‘n goeie ma,Afrikaans
codswallop  a load of,English
on the qt,English
cloak and dagger,English
as mad as a hatter,English
het jy al jou bakkies geskottel,Afrikaans
broad in the beam,English
not tonight josephine,English
n ou bok hou van jong blare,Afrikaans
rob peter to pay paul,English
‘n gordyn oor iets laat val,Afrikaans
dog in the manger,English
it is meat and drink to me,English
woe is me,English
as jy nie hande het kan jy nie ’n vuis maak nie,Afrikaans
die mens wat dink geld het veel waarde bly nog ‘n tydverkwister so koop al die skatte van die aarde – nie een minuut van gister,Afrikaans
soms is die lewe soos n kakkerlak … meer kk as luck,Afrikaans
off his own bat,English
cats cradle,English
et tu brute,English
ill go to the foot of our stairs,English
backseat driver,English
daar is ‘n definitiewe korrelasie tussen leesvermoë en leervermoë,Afrikaans
mutt and jeff,English
off with his head,English
quid pro quo,English
cat got your tongue,English
worse for wear,English
overpaid oversexed and over here,English
charley horse,English
never the twain shall meet,English
thus far into the bowels of the land,English
date rape,English
dis asof die lankrek van die laaste noot die kraai laat lekkerkry,Afrikaans
beyond our ken,English
cat out of the bag  let the,English
a wolf in sheeps clothing,English
get used to it,English
die henne wat die meeste kekkel lê nie die meeste eiers nie,Afrikaans
back to basics,English
vegrissen is menselijk,Nederlands
pyrric victory,English
my husband and i,English
old as methuselah,English
if the cap fits,English
a at lloyds,English
tall story,English
happy as a sandboy,English
hard lines,English
in the catbird seat,English
market forces,English
hy is maar onder die belt,Afrikaans
gilt off the gingerbread,English
brandewyn en vroueraad is goeie dinge maar jy moet dit bietjiesbietjies gebruik,Afrikaans
jack of all trades master of none,English
selfs god se engele kan ons nie red as ons gedurig ons eie kop wil volg nie,Afrikaans
draw your horns in,English
put paid to,English
by and large,English
inside out,English
waar rook is is vuur,Nederlands
touchyfeely,English
cute as a bugs ear,English
gry  words ending in,English
nine days wonder,English
all of a sudden,English
armoede leer ‘n maer hond bene kou,Afrikaans
‘n gebraaide hoender vlieg niemand in die mond nie,Afrikaans
the great unwashed,English
the whole kit and caboodle,English
life begins at forty,English
‘n bank is ‘n plek waar hulle vir jou ‘n sambreel gee wanner dit mooiweer is en dit terugvra as dit begin reën,Afrikaans
je moet niet op één paard wedden,Nederlands
sticks and stones may break my bones,English
jou akker sal kraak,Afrikaans
die boog kan nie altyd gespan wees nie,Afrikaans
dis goud wat blink maar koper wat stink,Afrikaans
sir walter scott phrases coined by,English
a safe pair of hands,English
belt and braces,English
persoonlikheid het die mag om deure oop te maak maar karakter is nodig om hul oop te hou,Afrikaans
het is niet al goud wat blinkt,Nederlands
early bird catches the worm  the,English
straight as a die,English
plain sailing,English
met iets te koop loop,Afrikaans
open season,English
whats in a name that which we call a rose by any other name would smell as sweet,English
from strength to strength,English
lovedup,English
mad as a march hare,English
done a runner,English
dit het gister net so ‘n slangsleepseltjie gereent in die kaap,Afrikaans
geld uit iemand se sak jaag,Afrikaans
thats one small step for a man a giant leap for mankind,English
go off halfcocked,English
soos ’n hand vol vlieë,Afrikaans
jy kan nooit wen as jy ‘n saak met die duiwel het en sy kantoor is in die hel nie,Afrikaans
collywobbles  the,English
knuckle down,English
bygones be bygones  let,English
starcrossed lovers,English
lager frenzy,English
chinese whispers,English
better half,English
jy hou jou latjiesbeen by ‘n meisie,Afrikaans
in a trice,English
elephant in the room,English
the devil to pay,English
hy’t sommer so sjierts by ons verbygejaag,Afrikaans
till the cows come home,English
my giddy aunt,English
chockablock,English
cant hold a candle to,English
as xxx as yyy,English
middle for diddle,English
die jors is ‘n regte agterdeursuiper,Afrikaans
sick puppy a,English
tilting at windmills,English
cut and run,English
fainthearted,English
fobbed off,English
warts and all,English
dit gaan maar patats,Afrikaans
hy het ‘n aap op sy rug,Afrikaans
he who laughs last laughs longest,English
hasta la vista baby,English
lyk of hy van die ape gekul is,Afrikaans
bietjie baard maar klipsteenhard,Afrikaans
under your hat  keep it,English
die gekke kry die kaarte,Afrikaans
alle wegen leiden naar rome,Nederlands
field day,English
as black as newgates knocker,English
no more cakes and ale,English
play it again sam,English
come what come may,English
play fast and loose,English
the balance of trade,English
lick into shape,English
salt of the earth  the,English
cold turkey,English
hell has no fury like a woman scorned,English
ieder vogeltje zingt zoals het gebekt is,Nederlands
clue  dont have a,English
senior citizen,English
de tijd zal het leren,Nederlands
thing of beauty is a joy forever  a,English
double cross,English
flash in the pan,English
slush fund,English
moaning minnie,English
as happy as larry,English
hy raak toe sommer doringbos vir haar,Afrikaans
giddy goat,English
iemand afkam,Afrikaans
stiff upper lip,English
spin doctor,English
geduld is ‘n stadige manier om jou moer te strip,Afrikaans
hit the hay,English
sukses is die kuns om hooi te maak van die gras wat ander mense onder hul voete vertrap,Afrikaans
red rag to a bull  a,English
movers and shakers,English
as daft as a brush,English
die sweep swiep deur die lug,Afrikaans
hard cases make bad law,English
up the apples and pears,English
the life of riley,English
as jy aas roer stink dit,Afrikaans
against the grain,English
a fate worse than death,English
muren hebben oren,Nederlands
stranger than fiction  truth is,English
nasty brutish and short,English
famous last words dying statements of famous people  a list,English
by the short hairs,English
my minds eye,English
moenie wag dat iets vorendag km nie vat ‘n graaf en soek die skat,Afrikaans
a dish fit for the gods,English
cardsharp,English
take with a grain of salt,English
run of the mill,English
make a clean breast of it,English
as dead as a doornail,English
the bread of life,English
die by wat die lekker heuning maak steek seer,Afrikaans
hoe bewierook hy nou sy baas,Afrikaans
vorsprung durch technik,English
‘n vergenoegde mens kan die natuurskoon langs ‘n pad geniet,Afrikaans
hy kan ‘n bokkom braai,Afrikaans
fly by the seat of ones pants,English
gridlock,English
tit for tat,English
sy het ‘n regte naweeklyfie,Afrikaans
fair play,English
indian giver,English
off the record,English
pie in the sky,English
swing for you,English
dont go there,English
mens evil manners live in brass their virtues we write in water,English
complete shambles,English
moenie die beer se vel verkoop voordat hy geskiet is nie,Afrikaans
je moet geen oude schoenen weggooien voordat je nieuwe hebt,Nederlands
as fit as a butchers dog,English
hy is meer verward as ‘n bergie onder huisarres,Afrikaans
hulle is dik soos diewe,Afrikaans
give no quarter,English
moenie jou kinders onskuldige plesier belet nie hulle sal dit steel en dan is jy nie daarby om te sien dat hulle nie die skuldige by steel nie,Afrikaans
pearls before swine,English
daar is ‘n dief aan die kers,Afrikaans
die botter het alleen geslaap,Afrikaans
a legend in ones own lifetime,English
trick or treat,English
mickey finn,English
top drawer,English
at one fell swoop,English
sods law,English
kop bo water hou,Afrikaans
die mannetjie kwyl agter rokgoed aan,Afrikaans
between two stools,English
dont count your chickens before they are hatched,English
die luiaard is die enigste man wat van sy slaap moet rekenskap gee,Afrikaans
blow your mind,English
hy laat lê nie kos nie,Afrikaans
the dark side,English
ace in the hole,English
morning person,English
pasop wat jy met jou hande opbou moet jy nie met jou agterent omstamp nie,Afrikaans
senior burgers vraag “wat maak julle heeldag” antwoord “ons soek ons goed en probeer onthou wat ons vergeet het”,Afrikaans
whistle down the wind,English
nou gaan die poppe dans,Afrikaans
hy het kaplaks van die stoel af geval,Afrikaans
theres no such thing as bad publicity,English
red letter day,English
not worth the candle,English
jy kan nie die armes ryk maak deur die rykes te verarm nie,Afrikaans
you are what you eat,English
good man is hard to find  a,English
neer cast a clout till may be out,English
take down a peg or two,English
agter die donkerste onweerswolke is die ewige son nog altyd daar,Afrikaans
chow down,English
so tuis wees soos n vis in die water,Afrikaans
jy het nog niks geleer van iemand wat oor alles met jou saamstem nie,Afrikaans
honesty is the best policy,English
englishmans home is his castle,English
as pleased as punch,English
hy is opgedreun tot by oom daantjie in die kalwerhok en weer terug,Afrikaans
cry havoc and let slip the dogs of war,English
dis nie welvaart en swier wat geluk bring nie maar kalmte en werk,Afrikaans
a rolling stone gathers no moss,English
daar is geen regte manier om ‘n verkeerde ding te doen nie,Afrikaans
chinless wonder,English
a daniel come to judgement,English
stones throw,English
a miss is as good as a mile,English
wouldnt touch with a bargepole,English
jy kan vir jan raap en skraap eet ou,Afrikaans
pie  as easy as,English
knuckle under,English
living off the fat of the land,English
drag race,English
ek sal jou slaan dat jy jou ouma vir ’n eendvoël aansien,Afrikaans
wiens broodt men eet die’ns woord met spreekt,Afrikaans
valentines day poems and sayings,English
i will swing for you,English
abandon all hope ye who enter here,English
hy druk almanakke,Afrikaans
a stones throw,English
have a captain cook,English
on tenterhooks,English
a sorry sight,English
vroeg uit die bed maak die beursie vet,Afrikaans
gedane zaken nemen geen keer,Nederlands
put your back up,English
meat and drink,English
nevernever land,English
miss is as good as a mile,English
all things must pass,English
as cool as a cucumber,English
stonyhearted,English
agree to disagree,English
dark horse,English
hoist with your own petard,English
close quarters,English
hy is ‘n geldwolf,Afrikaans
bitter in die mond maak die hart gesond,Afrikaans
floozie in the jacuzzi  the,English
saved by the bell,English
below the salt,English
ek is nou die baas en jy is klaas met ou hansie die kneg,Afrikaans
bricks and clicks,English
cop an attitude,English
get a word in edgeways,English
like billyo,English
de laatste druppel doet de emmer overlopen,Nederlands
as die hingste vul,Afrikaans
play ducks and drakes,English
vroeg begonnen veel gewonnen,Nederlands
gesondheid in die rondheid al die mooi meisies in die blomtyd,Afrikaans
high time,English
in the boxseat,English
over the moon,English
geld wat sleg is maak krom wat reg is,Afrikaans
dark side  the,English
talk through ones hat,English
as die herder dwaal dool die skape,Afrikaans
a nation of shopkeepers,English
hell in a handbasket,English
tea leaf,English
the smallest room in the house,English
you cant teach an old dog new tricks,English
iets wat bietjie goed is is nie goed genoeg nie matigheid in humeur is altyd ‘n deug maar matigheid in beginsel is altyd ‘n ondeug,Afrikaans
too much of a good thing,English
road less travelled  the,English
laughingstock,English
een rede waarom ‘n hond ‘n goeie trooster kan wees as jy verslae voel is dat hy nie vrae vra nie,Afrikaans
dit is iemand anders se breinkind,Afrikaans
hy kedoem sy kitaar so nou en dan,Afrikaans
ons kyk tot die droogte kom en dan kyk ons almal hemel toe,Afrikaans
what part of no dont you understand,English
if the mountain will not come to muhammad then muhammad must go to the mountain,English
sy doen die canyon tango,Afrikaans
toast of the town,English
‘n boer wat ophou skoolgaan voordat hy doodgaan moet liewer doodgaan voordat hy ophou skoolgaan,Afrikaans
fish or cut bait,English
on your tod,English
bated breath,English
bone idle,English
blood is thicker than water,English
chew the cud,English
play silly buggers,English
jors het al weer gestook,Afrikaans
klein diewe het ysterkettings groot diewe goue kettings,Afrikaans
die geel baadjie aan hê,Afrikaans
a woman needs a man like a fish needs a bicycle,English
haar hart lê op haar tong,Afrikaans
go by the book,English
caught by the short hairs,English
when in rome do as the romans do,English
pas op vir die man wat sy oë half toe hou dis nie dat hy nie wil uitkyk nie dis om te keer dat jy inkyk,Afrikaans
rest on his laurels,English
kick the bucket,English
behandel jou meerdere met beleefdheid omdat dit jou plig is jou gelyke omdat dit jou plesier is jou mindere omdat dit jou voorreg is die voorreg is aangenamer as die plesier en die plesier is soeter as die plig,Afrikaans
hush puppies,English
take a back seat,English
deus ex machina,English
betaal ‘n donkie se prys en moenie ‘n perd se dienste te wagte wees nie,Afrikaans
prime time,English
finger lickin good,English
moenie jou goed in jou lewe onder jou kinders uitdeel nie as hul spandabel is sal hulle die goed deurbring en as hulle alternatief inhalig is sal hulle jou verwaarloos   wat ek tot my spyt en verdriet nie gedoen het nie,Afrikaans
truth will out,English
as easy as pie,English
upset the applecart,English
come on down,English
die goudpot aan die einde van die reënboog,Afrikaans
hy is so los soos ‘n druiwetros,Afrikaans
knickknack,English
bury the hatchet,English
put the wood in the hole,English
in spades,English
‘n aap op jou rug hê,Afrikaans
grond vreet,Afrikaans
adams ale,English
die parlement is moerland toe,Afrikaans
excuse me while i kiss this guy,English
hy het al weer aalwyn getap,Afrikaans
oopsadaisy,English
labour of love,English
watching brief,English
with bells on,English
beter voorkomen dan genezen,Nederlands
not rocket science,English
get the pip,English
ill have your guts for garters,English
have your guts for garters,English
daar is net ‘n trekseltjie koffie oor in die pot,Afrikaans
fits and starts,English
call a spade a spade,English
kick your heels,English
hither and yon,English
road apples,English
jerry built,English
zo gewonnen zo geronnen,Nederlands
silver bullet,English
hy is kiepkop,Afrikaans
an offer he cant refuse,English
the yellow peril,English
another think coming,English
get over it,English
daardie ou mannetjie is darem maar ‘n kapoevaproppie,Afrikaans
beter één vogel in de hand dan tien in de lucht,Nederlands
tyd is geld,Afrikaans
“sy praat so baie sy sal die agterbeen van ‘n donkie afpraat”,Afrikaans
gou op sy agterpote wees,Afrikaans
‘n mens moet die wêreld ‘n beter plek agterlaat as wat jy dit gekry het,Afrikaans
hy is jan salie vanuit die wag nbietjie bosse,Afrikaans
houston we have a problem,English
for the birds,English
vir jou het ek sien aankom,Afrikaans
panic stations,English
new kid on the block,English
ask not for whom the bell tolls,English
pasop vir die man wat te veel praat sy korrels is vol kaf en pasop vir die een wat niks sê nie hy het ‘n verskuilde agenda,Afrikaans
die haan kraai baie harder as die hen wat die eier gelê het,Afrikaans
“dis jy wat met haar getjoingtjoing het en nie ek nie” – mikro gonnakolk,Afrikaans
een gegeven paard moet je niet in de bek kijken,Nederlands
channel surfing,English
charm offensive,English
cast the first stone,English
say cheese,English
go to the foot of our stairs,English
misery acquaints a man with strange bedfellows,English
mense is meer begaan oor wat hulle weet as om te ontdek wat hulle nog nie weet nie,Afrikaans
boss eyed,English
let or hindrance,English
dont let the bastards grind you down,English
shillyshally,English
hy is op die afdraand met sy briek los,Afrikaans
all agog,English
jan taks die belasting man eis sy pond vleis,Afrikaans
cockney rhyming slang,English
daar is geen sukkel by kuns nie en geen kuns by sukkel nie,Afrikaans
die plaas is nie ‘n koei wat in die hemel kos kry en op aard gemelk kan word nie,Afrikaans
stranger danger,English
is the pope polish,English
its better to light a candle than curse the darkness,English
ek is in die dolliwarie,Afrikaans
dawid jones sê hulle melk ons nou sô vir die armes asof dit ons skuld is dat hul arm is,Afrikaans
the proof of the pudding is in the eating,English
‘n mens moet nooit lag as ‘n dief op ‘n fiets deur ‘n trein getrap word nie dit kan moontlik jou fiets wees,Afrikaans
imitation is the sincerest form of flattery,English
shot in the arm,English
the female of the species is more deadly then the male,English
ma’s en huisvroue is die enigste werkers wat nie gereelde vrye tye kry nie hulle is die groot vakansielose klas,Afrikaans
on the button,English
the exception which proves the rule,English
two cents worth,English
a piece of the action,English
give a man a fish and you will feed him for a day,English
go to the mattresses,English
hy leef op sy binnevet,Afrikaans
wag tot letjie kom,Afrikaans
billyo  like,English
